OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,CONFIDENCE,FIRETYPE,ID,AREA_,PERIMETER,COMMENTS,SHAPE_Length,SHAPE_Area
12,8479.39883901901,AK6201316162819840703,KUYUKUTUK,1984,7,3,High,WF,0,34314907.07617,33899.28659, ,72131.4304466534,155243988.995218
13,37083.0043399721,AK6375715753719840609,WAPOO FIRE,1984,6,9,Low,WF,0,150069583.01993,119174.92636, ,268979.088783184,764411234.091482
14,1399.22823236665,AK6379515502919840623,414060,1984,6,23,High,WF,0,5662475.33387,18064.74595, ,40819.233426557,28920112.8980989
15,10243.3902319295,AK6393015752719840606,MUD FIRE,1984,6,6,Low,WF,0,41453526.43823,59517.00838,Hard to determine fire perimeter,135164.240981235,213753729.00493
16,1896.87433273702,AK6448214467319840607,GLACIER CREEK,1984,6,7,High,WF,0,7676377.5002,17052.62979, ,39504.3076088283,41190231.3415167
17,2756.04278217039,AK6458915275719840623,TAL SW 37,1984,6,23,High,WF,0,11153308.59694,17474.02695, ,40633.7084068107,60316724.0709706
18,1688.85086172663,AK6495716269319840702,414057,1984,7,2,High,WF,0,6834536.44367,11274.15139, ,26578.8902181222,37978564.0357454
19,3169.15993053042,AK6535415457219840611,414008,1984,6,11,Low,WF,0,12825134.2566,22957.89565,Perimeter difficult to delineate.,54937.881901906,73426654.573401
20,3155.9592617129,AK6552815643319840703,HSL S 10,1984,7,3,High,WF,0,12771713.04922,26709.81674, ,64323.4079505345,74098145.4943061
21,1258.37093648611,AK6562715090219840619,TAL NE 36,1984,6,19,High,WF,0,5092446.12415,9288.25755, ,22468.9864537934,29770420.7340976
22,1964.38972852277,AK6621715235619840618,414012,1984,6,18,Low,WF,0,7949602.59275,16910.24305,some boundaries indistinct,41807.8853854194,48661246.00612
23,1989.47245561858,AK6640915520219840617,HUS NW 30,1984,6,17,High,WF,0,8051108.78038,26634.17859, ,66350.3299121349,50038044.739282
24,1487.41796577545,AK6645315732419840624,DCK SSW 35,1984,6,24,Low,WF,0,6019366.49614,14335.26417,perimeter difficult to delineate,35801.3682618626,37542501.6857376
25,6723.15705398765,AK6793316087819840625,IAN N 55,1984,6,25,Low,WF,0,27207649.26217,36499.0669,perimeter difficult to delineate,96876.1878211006,191832820.080585
26,1775.44411387872,AK6807116065419840625,WTK NE 50,1984,6,25,Low,WF,0,7184966.87599,17852.68328,perimeter difficult to delineate,47642.8624820769,51265275.7813402
692,5357.68229327752,AZ3316911195219840926,CHANDLER,1984,9,26,Low,WF,0,21681769.3716,44356.20352,Cloud shadow over fire. Fire still visible.,53152.6731836292,31028236.2917535
693,1171.18883544065,AZ3317411211019840530,PRINCE,1984,5,30,High,WF,0,4739632.70508,19134.95392, ,22890.7607407813,6783588.13568248
694,1060.21535542605,AZ3317511203319840807,DRAGONFIRE,1984,8,7,Low,WF,0,4290538.99844,18413.95308,Perimeter difficult to delineate.,22053.3669600299,6140965.31714276
695,1838.85146490828,AZ3391411158319840529,BLACK,1984,5,29,High,WF,0,7441567.30249,13629.02758,Single scene assessment,16466.4120066664,10832816.7786513
696,1260.040142392,AZ3536611193219840614,SANDERSON,1984,6,14,High,WF,0,5099201.16028,13952.1407, ,17077.1309773713,7685219.95494365
697,1078.53014971459,OR4277211878619840812,STEENS 1,1984,8,12,High,WF,0,4364656.33578,11942.81892, ,16295.9258333103,8109095.82906076
698,384.21167183453,OR4277211878619840812,STEENS 1,1984,8,12,High,WF,0,1554849.35511,6676.49691, ,9098.4331510433,2886233.17991601
699,1092.37131695978,OR4277211878619840812,STEENS 1,1984,8,12,High,WF,0,4420669.54814,13508.37308, ,18424.14346325,8206023.3352178
700,4312.26208260207,OR4283811911619840709,WALLS LAKE,1984,7,9,High,WF,0,17451104.19522,26597.66913, ,36237.5880931462,32471558.7881844
701,2283.32242924046,OR4296312021419840809,SAUNDERS,1984,8,9,High,WF,0,9240277.34416,28670.52623, ,39182.1006066376,17263143.7577408
702,298.52447147948,OR4300911815919840804,FOLLY FARM,1984,8,4,High,WF,0,1208085.58404,5095.41649,single scene assessment,6979.86780797932,2262491.32080744
703,16597.8402113424,OR4300911815919840804,FOLLY FARM,1984,8,4,High,WF,0,67169071.21958,76210.35251,single scene assessment,104158.010624418,125559861.002741
704,9696.86193885006,OR4303311990019840810,SHEEP CAMP,1984,8,10,High,WF,0,39241805.07124,42441.30511, ,58093.5188981117,73478676.280875
705,3622.38121176789,OR4313011879219840726,DIAMOND,1984,7,26,High,WF,0,14659255.57178,18694.86903, ,25637.9707967494,27535164.3948081
706,1202.08476682319,OR4315712076019840711,EGLIRIM,1984,7,11,High,WF,0,4864664.09404,12520.8, ,17178.1185645346,9149342.58985547
707,380.42496779897,OR4315712076019840711,EGLIRIM,1984,7,11,High,WF,0,1539525.10871,5677.76333, ,7783.20930163342,2893779.88759584
708,44.7419462044,OR4315712076019840711,EGLIRIM,1984,7,11,High,WF,0,181064.21877,1917.6723, ,2629.03391699382,340325.417726291
709,5321.83673011563,OR4319011995219840804,L JUNIPER,1984,8,4,High,WF,0,21536707.53499,21863.65807, ,29967.3542416084,40532922.1710025
710,8527.99160695822,OR4319612032519840809,BUFFALO,1984,8,9,High,WF,0,34511555.01644,46559.92657, ,63877.0264620648,64965424.88272
749,3021.10234379697,CA3268211688619840421,PROCTOR,1984,4,21,High,WF,0,12225966.50578,15198.69316, ,18086.2790007109,17306314.9233049
750,3073.39825699089,CA3294511693519840906,BOWLES,1984,9,6,High,WF,0,12437600.54208,22033.88706, ,26286.1970399842,17709751.1215104
751,5563.78200462251,CA3341311687319840530,AGUANGA,1984,5,30,High,WF,0,22515825.24956,31991.18042, ,38383.2191034243,32400952.3838113
752,1383.4550516866,CA3375011772919840615,LOMA RIDGE,1984,6,15,High,WF,0,5598643.54112,17075.41269, ,20572.6528669176,8117826.43393315
753,4130.32422875934,CA3402311625519840531,LOST HORSE,1984,5,31,High,WF,0,16714827.87814,28762.34068, ,34743.3723922703,24393937.6229232
754,2441.71095247045,CA3428511755419840528,LYTLE,1984,5,28,High,WF,0,9881252.90856,21274.15167, ,25791.7931054463,14509979.8196242
755,10917.066221809,CA3433111896419840507,GRIMES FIRE,1984,5,7,High,WF,0,44179796.24002,66136.76517,Single scene assessment,80149.9508972525,64945317.0307449
756,6048.865723506,CA3444311889619841015,SQUAW FLAT,1984,10,15,High,WF,0,24478889.2655,23721.48964, ,28792.4693306548,36080095.7504462
757,1035.38717528914,CA3444911848019840622,SCUDDER BURN,1984,6,22,High,RX,0,4190062.92574,10930.76833,perimeter by others in prior mapping,13283.8689191266,6176667.36654664
758,1478.93093962091,CA3445211772619840706,MESCAL,1984,7,6,High,WF,0,5985020.72242,11066.66055, ,13430.4145744603,8823291.79677594
759,1902.34416112189,OR4323711801419840823,PIUTE,1984,8,23,High,WF,0,7698513.10866,16965.75212, ,23290.0686778253,14511069.1326808
760,2197.62440708883,OR4334211814819840802,SWAMP CK,1984,8,2,High,WF,0,8893469.77884,18180.623,Single Scene Assessment,24994.9209531936,16820969.8319194
761,515.06524594891,OR4546712084319840811,S LOCKIT,1984,8,11,High,WF,0,2084394.94219,6540.19539, ,9330.39139934981,4241361.86035748
762,1477.90240716274,OR4546712084319840811,S LOCKIT,1984,8,11,High,WF,0,5980858.39954,18171.96325, ,25892.208386281,12147835.2162111
763,1112.57202101759,OR4574712002419840809,WILLOWS,1984,8,9,High,WF,0,4502418.89096,16547.13955, ,23705.5286888618,9244328.5421834
764,2690.71768094213,SD4308410285019840906,SANDOZ,1984,9,6,High,WF,0,10888947.31132,17899.39489, ,24539.3211547974,20422995.0617224
765,1266.93069808772,SD4400910230819840815,WALL,1984,8,15,High,WF,0,5127086.24776,14455.48588, ,20108.3066105995,9913664.41739298
803,2969.18392682515,CA3455211818319840529,SHANNON FIRE,1984,5,29,High,WF,0,12015860.14237,17705.22166,Single scene assessment,21515.5193495367,17755597.41997
804,584.71889407471,CA3455211818319840529,SHANNON FIRE,1984,5,29,High,WF,0,2366273.23432,7049.61439,Single scene assessment,8570.7737294832,3496849.99384918
805,2458.03347063503,CA3470111707519840512,STODDARD 2,1984,5,12,High,WF,0,9947307.79107,19581.32459, ,23851.1992672177,14752039.9621813
806,3158.66098460418,CA3480712050119840507,MINUTEMAN,1984,5,7,High,WF,0,12782646.53303,21543.83507,Single scene assessment,26268.9024415143,19005029.2443991
807,1539.37008146677,CA3485611858619840630,UNNAMED,1984,6,30,High,UNK,0,6229609.23342,14710.15304, ,17975.7953861533,9273048.4360112
808,1976.82580884185,CA3490511928619840810,BLUE,1984,8,10,Low,WF,0,7999929.62049,15017.41222,Hard to determine fire perimeter,18359.1933797762,11922481.3284411
809,1776.59672188295,CA3509712015419840528,SHELL PEAK,1984,5,28,High,RX,0,7189631.31475,14075.35058, ,17215.1323206407,10764708.2679294
810,2053.11417096454,CA3514112020419840621,UNNAMED,1984,6,21,High,UNK,0,8308657.64554,19158.06538,Single scene assessment,23482.2746206408,12453364.3204118
811,1622.26179594336,CA3519712039419840629,BONNHEIM,1984,6,29,High,WF,0,6565060.07535,15693.61475, ,19238.4544357771,9853441.92096193
812,1910.40257080936,CA3525311948619840621,UNNAMED,1984,6,21,High,UNK,0,7731124.33322,17206.93438,Single scene assessment,21052.9334353732,11619498.3174026
813,1584.61360050337,CA3525312054719840529,MORETZZ,1984,5,29,High,WF,0,6412703.24527,19225.01335, ,23583.3247240166,9638088.02696281
814,6009.11345337675,CA3539611983319840819,TWISSELMAN,1984,8,19,Low,WF,0,24318017.54788,25693.73113,Edited Ca. Dept. Forestry perimeter,31572.2449496476,36677645.2351718
815,2018.73338212899,UT3870611356719840619,GRASS COVE,1984,6,19,High,WF,0,8169523.53987,24759.81586, ,31755.8172481465,13435315.6828343
816,9308.95876678177,UT3977011257819840708,DESERT,1984,7,8,High,WF,0,37672016.74582,42356.727, ,55113.2990491688,63845551.8106234
817,3030.70962704643,WA4628912040319841017,HAMBRE MT,1984,10,17,High,WF,0,12264845.79878,30037.46014, ,43448.8637466553,25677683.454142
818,122914.139530812,WA4642711956919840812,HANFORD,1984,8,12,Low,WF,0,497415837.65799,198634.22236,dnbr unreliable for peremiter delineation on grassland portion of this shrub fir,288093.765408811,1046622979.92742
819,1996.39708535443,WA4665511966319840530,VERNITA BR,1984,5,30,High,WF,0,8079131.76059,18414.50416, ,26761.1870829897,17142022.4981385
838,1059.28218840764,CA3549911888619840621,UNNAMED,1984,6,21,High,UNK,0,4286762.60579,10944.35016,Single scene assessment,13454.3782577207,6481953.4720005
839,23188.7551596227,CA3557911838819840707,BODFISH,1984,7,7,Low,WF,0,93841555.70709,73141.8019,Hard to tell burned area on NE corner.,90109.3018173245,142176043.520068
840,1118.09936959789,CA3561111844619840526,WOODROW,1984,5,26,High,WF,0,4524787.27538,11396.95664, ,14050.0413958003,6860814.03743656
841,3020.40156377545,CA3576612075519840628,UNNAMED,1984,6,28,High,UNK,0,12223130.54986,22282.14434, ,27512.7325691585,18605129.8856932
842,6692.45800314263,CA3589912013419840525,FLAT TOP,1984,5,25,High,WF,0,27083414.62041,32805.96169,Single scene assessment,40504.2065197032,41360931.8184715
843,23121.6789334133,CA3592912123419840628,UNNAMED,1984,6,28,Low,UNK,0,93570107.87062,104854.52536,Perimeter hard to tell in certain areas,129667.960632026,143007024.103851
844,10419.661103522,CA3605012129319840628,UNNAMED,1984,6,28,High,UNK,0,42166869.29352,40206.70057, ,49768.7919984355,64640469.1984853
845,1461.51677886758,CA3607412018819840329,FK 1817,1984,3,29,High,WF,0,5914548.11942,12177.0324,Single scene assessment,15051.004223703,9072355.50415506
846,1219.24443164799,CA3620812105219840628,UNNAMED,1984,6,28,High,UNK,0,4934106.78863,14447.90331, ,17915.2345307539,7594197.42211494
883,1135.4801845469,CA3626012031719840525,OIL FIELDS,1984,5,25,High,WF,0,4595124.93271,13292.23413, ,16475.6103157097,7081723.08237306
884,1225.03375375743,CA3626912129019840628,UNNAMED,1984,6,28,High,UNK,0,4957535.34224,15521.73413, ,19250.1192929897,7641926.15630162
885,1565.50038959477,CA3631411886919840821,BLUE RIDGE,1984,8,21,Low,WF,0,6335354.83075,11305.55882,Edited Ca. Dept. Forestry perimeter,14034.7219989422,9777020.04587736
886,2987.14133365833,CA3640611884819840829,BAR-O,1984,8,29,High,WF,0,12088531.1841,19729.72477,Edited Ca. Dept. Forestry perimeter,24525.3329293267,18699338.6365365
887,351.28394570111,CA3646011736319840630,UNNAMED,1984,6,30,High,UNK,0,1421595.58513,5327.84825, ,6633.83449260051,2202620.2637818
888,1244.22301511934,CA3646011736319840630,UNNAMED,1984,6,30,High,UNK,0,5035191.522,13586.95087, ,16893.6574347469,7797825.08256248
889,1306.44980138854,CA3651011888219841010,BEAR CREEK,1984,10,10,Low,WF,0,5287014.37277,12184.1228,Hard to determine fire perimeter,15174.9671407597,8200098.31631165
890,5587.64855400366,CA3655011744919840630,UNNAMED,1984,6,30,High,UNK,0,22612409.74096,30624.74057, ,38148.3872180835,35107353.1943172
891,12103.3922717649,CA3674412094119840602,BONANZA,1984,6,2,High,WF,0,48980687.07428,44436.61649, ,55612.5052845975,76428236.7448518
892,1231.36454106711,CA3688312115819840705,PACHECO #2,1984,7,5,High,WF,0,4983155.1276,10441.21223, ,13066.9166390935,7803649.48067322
893,1408.84735319079,CA3709812116219840521,COTTONWOOD,1984,5,21,High,WF,0,5701402.53184,14772.75062, ,18552.9924145633,8978431.19634867
894,1770.50831744462,CA3764212000819841103,UNNAMED,1984,11,3,High,UNK,0,7164992.41799,19697.53924, ,24888.9140090378,11446705.0302922
